Số nhị phân là gì?;;;Câu trả lời đúng là: Các số 1 và 0.
Người và máy tính giao tiếp thông qua:;;;Câu trả lời đúng là: Bàn phím và màn hình
Chọn câu trả lời ĐÚNG nhất: USB là;;;Câu trả lời đúng là: Thiết bị lưu trữ ngoài.
Trong danh sách dưới đây, hệ điều hành nào không phải là hệ điều hành đa nhiệm (multitask);;;Câu trả lời đúng là: DOS
Trong MS Windows, để đến ngay ô tìm kiếm của Windows Explorer phải sử dụng phím tắt:;;;Câu trả lời đúng là: F3
Đâu là đường dẫn chính xác trong Windows?;;;Câu trả lời đúng là: C:\K5A1\Tinhoc
Để kết nối và sử dụng thư mục ThongBaoKhan đã được chia sẻ từ địa chỉ máy 10.6.1.54, khi vào Start-Run, phải nhập chuẩn xâu ký tự:;;;Câu trả lời đúng là: \\10.6.1.54\ThongBaoKhan
Bạn chỉ xem những e-mail được gửi từ những người đáng tin là có thể tránh được Virus. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Trong hệ điều hành Windows, máy tính đọc dữ liệu nhanh nhất từ đâu:;;;Câu trả lời đúng là: Đĩa cứng.
RAM là viết tắt của;;;Câu trả lời đúng là: Random Access Memory.
Trong những tình huống hoặc lĩnh vực nào sau đây, con người làm việc tốt hơn máy tính;;;Câu trả lời đúng là: Nhận dạng.
Trong hệ điều hành Windows, phím tắt nào giúp người dùng truy cập nhanh thực đơn Start để Shutdown máy?;;;Câu trả lời đúng là: Ctrl + Esc.
Trong hệ điều hành Windows, để thiết đặt lại hệ thống chọn chức năng:;;;Câu trả lời đúng là: Control Panel.
﻿Có thể đóng một ứng dụng đang chạy trên Windows bằng cách sử dụng tổ hợp phím:;;;Câu trả lời đúng là: Alt + F4
Máy in là thiết bị;;;Câu trả lời đúng là: Ra.
Nếu một máy tính bị nghi ngờ là nhiễm virus thì cách thức tốt nhất để kiểm tra và diệt virus là gì?;;;Câu trả lời đúng là: Cài đặt một chương trình chống virus, quét virus các ổ đĩa của máy tính và cho chương trình này loại bỏ virus.
Trong hệ điều hành Windows, muốn đổi tên thư mục hoặc file đang chọn có thể sử dụng phím?;;;Câu trả lời đúng là: F2
Phải giữ phím nào khi thao tác chọn nhiều file liên tục trong cùng một thư mục?;;;Câu trả lời đúng là: Shift
Windows là tên của:;;;Câu trả lời đúng là: Hệ điều hành được viết bởi Microsoft.
Khi sử dụng hồ sơ điện tử thay cho hồ sơ giấy, ví dụ như bảng các câu hỏi trực tuyến. Bạn thấy ưu điểm nào sau đây nổi bật nhất?;;;Câu trả lời đúng là: Việc tiêu thụ giấy giảm.
Để khởi động lại máy tính, thao tác nào dưới đây là SAI?;;;Câu trả lời đúng là: Bấm nút Power trên hộp máy.
Việc trang bị kiến thức bảo mật thông tin là cần thiết và quan trọng với tất cả mọi người trong xã hội hiện đại. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Khi chia sẻ tài nguyên trong mạng nội bộ, loại tài khoản nào sau đây không được nhắc đến?;;;Câu trả lời đúng là: Có quyền cao hơn tài khoản quản trị.
Vấn đề sức khỏe phổ biến của người sử dụng máy tính là các chấn thương cổ tay. Nguyên nhân của chấn thương thông thường là gì?;;;Câu trả lời đúng là: Sử dụng bàn phím lâu.
Tại sao không nên sao chép một trò chơi từ đĩa CDROM mà không được sự cho phép của người/tổ chức sở hữu trò chơi này?;;;Câu trả lời đúng là: Bởi vì đó là vi phạm bản quyền.
Để chuyển đổi màn hình làm việc giữa các chương trình ứng dụng đang mở đồng thời, sử dụng tổ hợp phím:;;;Câu trả lời đúng là: Alt + Tab
Lợi ích của GUI (Graphic User Interface) là gì?;;;Câu trả lời đúng là: GUI cho phép dùng con chuột để thao tác với máy tính.
Lệnh nào sau đây cho biết địa chỉ IP của máy tính?;;;Câu trả lời đúng là: IPCONFIG
Cần phải hủy tất cả các tài liệu khi chúng không còn phù hợp với khách hàng, doanh nghiệp hoặc cá nhân nhất định để hạn chế rủi ro không đáng có. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Windows, khi một tệp mang thuộc tính “Hidden” tức là:;;;Câu trả lời đúng là: Nó bị ẩn.
Trong hệ điều hành Windows, để thu nhỏ cửa sổ đang sử dụng, sử dụng tổ hợp phím:;;;Câu trả lời đúng là: Alt + Space, sau đó nhấn N.
Đơn vị đo lượng thông tin là;;;Câu trả lời đúng là: Bit
Phần mềm chống Virus chỉ bảo vệ máy tính phần nào, chứ không thể hoàn toàn chống được các chương trình độc hại. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Đâu là thiết bị nhập dữ liệu?;;;Câu trả lời đúng là: Máy quét (scan) và đầu đọc mã vạch.
Windows là hệ điều hành:;;;Câu trả lời đúng là: Đa nhiệm, một người dùng.
Ổ DVD Combo có chức năng nào sau đây?;;;Câu trả lời đúng là: Đọc và ghi đĩa CD, DVD.
Chuỗi tìm kiếm nào dưới đây là ĐÚNG khi muốn tìm kiếm cả 3 tệp tin: "ngay251205.txt", "day112cp.doc" và "pay.xls"?;;;Câu trả lời đúng là: *ay*
Trong hệ điều hành Windows, có thể format ổ chứa hệ điều hành không?;;;Câu trả lời đúng là: Không thể nếu đang sử dụng hệ điều hành được đặt trên ổ đĩa đó.
Thông tin là gì?;;;Câu trả lời đúng là: Là tất cả những gì mang lại cho con người hiểu biết.
Công ty X mua một chương trình máy tính, chương trình này sẽ được cài đặt miễn phí trong nội bộ công ty trong trường hợp:;;;Câu trả lời đúng là: Khi bản quyền phần mềm cho phép điều này.
Thuật ngữ “Thương mại điện tử” nghĩa là;;;Câu trả lời đúng là: Mua và bán hàng qua mạng máy tính Internet.
Phần mềm Windows, Linux và OS2 có đặc điểm gì chung;;;Câu trả lời đúng là: Tất cả đều là hệ điều hành.
Virus máy tính;;;Câu trả lời đúng là: Là một chương trình máy tính.
Tốc độ truy cập mạng được xác định theo đơn vị;;;Câu trả lời đúng là: kbps.
Một khi bạn tương tác với các Website sẽ có nhiều thông tin được tải xuống máy tính mà bạn không nhìn thấy và điều đó cũng có nghĩa là máy tính vẫn có nguy cơ bị các phần mềm ác tính tấn công. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Chọn đáp án SaiKhi tiến hành trao đổi thông tin với người khác dù bằng phương tiện điện tử hay các hình thức khác, bạn cần phải:;;;Câu trả lời đúng là: Đăng ký bảo mật tài khoản của bạn
Khi các biểu tượng trên màn hình Desktop windows bị ẩn hết. Thao tác nào sau đây để hiển thị các biểu tượng trên màn hình Desktop?;;;Câu trả lời đúng là: Nhấn phải chuột vào màn hình nền, chọn View, chọn tiếp Show desktop icons.
Những người được quyền sử dụng có thể truy xuất thông tin khi họ cần;;;Câu trả lời đúng là: Tính bảo mật
Nhìn vào các tham số cấu hình của một máy tính: 1.8GHz, 20GB, 1GB con số 20GB là thông số gì?;;;Câu trả lời đúng là: Dung lượng của ổ đĩa cứng.
Lời khuyên khi sử dụng mật khẩu máy tính là:;;;Câu trả lời đúng là: Không bao giờ cho người khác biết mật khẩu của bạn.
Đảm bảo thông tin chỉ được tiếp cận bởi những người được cấp quyền tương ứng;;;Câu trả lời đúng là: Tính trọn vẹn
Mạng máy tính là;;;Câu trả lời đúng là: Các máy tính được kết nối với nhau qua các kênh truyền tín hiệu vật lý để chia sẻ tài nguyên và thông tin.
Trong hệ điều hành Windows, phần mềm tiện ích nào hoạt động như một máy tính bỏ túi?;;;Câu trả lời đúng là: Calculator
Thông số "7200 rpm" là của thiết bị nào?;;;Câu trả lời đúng là: HDD.
1 byte bằng:;;;Câu trả lời đúng là: 8 bit
Lan rất cẩn thận cô chỉ nhận các dữ liệu được chứa trong CD, USB, … từ bạn bè hoặc đồng nghiệp đáng tin cậy và cho rằng như vậy sẽ không bị nguy cơ bị các loại Virus tấn công hoặc mất mát dữ liệu. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Thành phần nào dưới đây không thuộc cửa sổ thư mục:;;;Câu trả lời đúng là: Con trỏ chuột.
Chuỗi tìm kiếm nào sau đây sẽ trả về được 3 file: "sayit.txt", "day1.doc" và "pay.mon"?;;;Câu trả lời đúng là: ?ay*.*
Một số mã độc có khả năng tự động gửi các e-mail giả từ hộp thư của bạn bè, đồng nghiệp của bạn. Nếu nội dung e-mail có dấu hiệu đáng ngờ, bạn nên tránh mở các tệp đính kèm. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Modem là thiết bị dùng để:;;;Câu trả lời đúng là: Chuyển đổi tín hiệu số của máy tính sang dạng tín hiệu tương tự để truyền được trên đường điện thoại.
Trong hệ điều hành Windows, phím tắt để mở Windows Explorer là:;;;Câu trả lời đúng là: Windows + E
Phát biểu nào dưới đây là SAI: Trên màn hình nền Desktop, có thể thực hiện thao tác:;;;Câu trả lời đúng là: Phóng to hoặc thu nhỏ màn hình nền Desktop (với cùng 1 độ phân giải ví dụ 800x600).
Trong MS Windows, nhấn tổ hợp phím nào sẽ thực hiện Dán (Paste) thư mục từ bộ nhớ đệm vào sau vị trí con trỏ?;;;Câu trả lời đúng là: Ctrl + V
﻿Tốc độ truyền dữ liệu tối đa trên lý thuyết của USB 3.0 là;;;Câu trả lời đúng là: 4,8 Gbps.
Mặc dù phần mềm chống Virus đang hoạt động trên máy tính cũng chưa chắc chắn sẽ bảo vệ máy tính khỏi các chương trình độc hại. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Phần mềm nào sau đây có thể đọc các file định PDF?;;;Câu trả lời đúng là: Foxit Reader.
Một khách hàng muốn thực hiện một cuộc khảo sát quan e-mail, vì thế anh ta yêu cầu Lan lập một danh sách nhỏ bao gồm họ tên, địa chỉ và e-mail phục vụ cho cuộc khảo sát. Mặc dù họ tên và địa chỉ không đủ để định danh nhưng vẫn phải hết sức cẩn thận bởi nếu chúng sử dụng kết hợp với các thông tin cá nhân khác có thể dẫn đến vi phạm việc bảo mật thông tin riêng tư. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Windows, để chọn Toàn bộ đối tượng (thư mục, tệp) thì nhấn tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + A
Khi bật máy tính, thiết bị nào sau đây được dùng để lưu trữ các chương trình ban đầu phục vụ cho việc khởi động máy?;;;Câu trả lời đúng là: ROM
Mai thường lưu giữ các tài liệu cũ để xem lại. Cô hầu như không bao giờ tiêu hủy chúng ngay cả khi chúng không còn phù hợp hay không còn giá trị sử dụng. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Lợi thế của mua hàng trực tuyến so với mua hàng bình thường ở cửa hàng là gì?;;;Câu trả lời đúng là: Có thể mua hàng trong suốt 24h trong một ngày.
Trong những tình huống nào sau đây, máy tính thực thi công việc tốt hơn con người?;;;Câu trả lời đúng là: Khi thực hiện một phép toán phức tạp.
